"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Zero MileStone","4.4","1,026","","","","","https://www.google.com/maps/place/Zero+MileStone/data=!4m7!3m6!1s0x3bd4c1ca1f71a02f:0x76c4e12c367fe503!8m2!3d21.1497623!4d79.0806319!16s%2Fm%2F0hhsr5s!19sChIJL6BxH8rB1DsRA-V_NizhxHY?authuser=0&hl=en&rclk=1"
"Bardi Railway Station","4.2","395","","","","","https://www.google.com/maps/place/Bardi+Railway+Station/data=!4m7!3m6!1s0x3bd4c127d35654c9:0xd66f16b0eaa25fe1!8m2!3d21.1458004!4d79.0881546!16s%2Fg%2F11q3tj3sdy!19sChIJyVRW0yfB1DsR4V-i6rAWb9Y?authuser=0&hl=en&rclk=1"
"Central Museum of Nagpur","4.5","1,544","","","","","https://www.google.com/maps/place/Central+Museum+of+Nagpur/data=!4m7!3m6!1s0x3bd4c0ee7b287db3:0x696534cb42adaa84!8m2!3d21.1509655!4d79.078066!16s%2Fg%2F1td68b32!19sChIJs30oe-7A1DsRhKqtQss0ZWk?authuser=0&hl=en&rclk=1"
"Sri Balaji & Sri Karthikeya Temple","4.7","2,180","","","","","https://www.google.com/maps/place/Sri+Balaji+%26+Sri+Karthikeya+Temple/data=!4m7!3m6!1s0x3bd4c0528ea2d98d:0xb9ae5c9b926b2949!8m2!3d21.1639556!4d79.0539116!16s%2Fg%2F11c5sb72x4!19sChIJjdmijlLA1DsRSSlrkptcrrk?authuser=0&hl=en&rclk=1"
"Mahalaxmi Devasthan Temple","4.5","95","","","","","https://www.google.com/maps/place/Mahalaxmi+Devasthan+Temple/data=!4m7!3m6!1s0x3bd4c0caa3981375:0x80b1efca1af03206!8m2!3d21.1470225!4d79.1085577!16s%2Fg%2F11gzq4ft4!19sChIJdROYo8rA1DsRBjLwGsrvsYA?authuser=0&hl=en&rclk=1"
"Gorewada HANUMAN JI TEMPLE","4.1","18","","","","","https://www.google.com/maps/place/Gorewada+HANUMAN+JI+TEMPLE/data=!4m7!3m6!1s0x3bd4c1ea0337f08d:0x1e6541bdd1437e98!8m2!3d21.1894273!4d79.0365162!16s%2Fg%2F1hjh8k462!19sChIJjfA3A-rB1DsRmH5D0b1BZR4?authuser=0&hl=en&rclk=1"
"Lord Shiva Temple","4.3","23","","","","","https://www.google.com/maps/place/Lord+Shiva+Temple/data=!4m7!3m6!1s0x3bd4c75975b79bfd:0xbf6289100b4ba37e!8m2!3d21.1286357!4d79.123861!16s%2Fg%2F1tfw1hdm!19sChIJ_Zu3dVnH1DsRfqNLCxCJYr8?authuser=0&hl=en&rclk=1"
"Subhan Wada","4.3","4","","","","","https://www.google.com/maps/place/Subhan+Wada/data=!4m7!3m6!1s0x3bd4c144517c7c53:0xb1663f85448b616!8m2!3d21.1455557!4d79.0834948!16s%2Fg%2F11f5_jv853!19sChIJU3x8UUTB1DsRFrZIVPhjFgs?authuser=0&hl=en&rclk=1"
"Prayan Chowk","","","","","","","https://www.google.com/maps/place/Prayan+Chowk/data=!4m7!3m6!1s0x3bd4c19264473ff5:0x62ae7a4d0768bdbf!8m2!3d21.1932764!4d79.0719288!16s%2Fg%2F11trmwnrt2!19sChIJ9T9HZJLB1DsRv71oB016rmI?authuser=0&hl=en&rclk=1"
"Shakuntala Agro Farm","","","","","","","https://www.google.com/maps/place/Shakuntala+Agro+Farm/data=!4m7!3m6!1s0x3bd4c1776fcc0c73:0x6a342e77df680891!8m2!3d21.1458004!4d79.0881546!16s%2Fg%2F11kj6qhpjh!19sChIJcwzMb3fB1DsRkQho33cuNGo?authuser=0&hl=en&rclk=1"
"Children's Traffic Park","4.0","1,559","","","","","https://www.google.com/maps/place/Children%27s+Traffic+Park/data=!4m7!3m6!1s0x3bd4c1a638e48a47:0x4bea30b59f8b07b3!8m2!3d21.1404689!4d79.0663356!16s%2Fg%2F11fmd8f3h8!19sChIJR4rkOKbB1DsRsweLn7Uw6ks?authuser=0&hl=en&rclk=1"
"Seminary hills walking track","4.6","158","","","","","https://www.google.com/maps/place/Seminary+hills+walking+track/data=!4m7!3m6!1s0x3bd4c1ab76163e6d:0xb37f8687cfa1dc27!8m2!3d21.1613478!4d79.0658147!16s%2Fg%2F11rvdd0wjb!19sChIJbT4WdqvB1DsRJ9yhz4eGf7M?authuser=0&hl=en&rclk=1"
"Shivaji Nagar Park","4.4","2,736","","","","","https://www.google.com/maps/place/Shivaji+Nagar+Park/data=!4m7!3m6!1s0x3bd4c066636f832d:0x529ea74eda020181!8m2!3d21.1379538!4d79.0555014!16s%2Fg%2F1tgq52xk!19sChIJLYNvY2bA1DsRgQEC2k6nnlI?authuser=0&hl=en&rclk=1"
"NIT Garden","3.8","125","","","","","https://www.google.com/maps/place/NIT+Garden/data=!4m7!3m6!1s0x3bd4c11f34c36d49:0x8739feec617499e1!8m2!3d21.1742016!4d79.0854599!16s%2Fg%2F11g6t_c1dx!19sChIJSW3DNB_B1DsR4Zl0Yez-OYc?authuser=0&hl=en&rclk=1"
